Player Name,Date,Team (Qty),Lg (Qty),Pos (Qty),Suspension
Alex Sanchez,04-03-2005,Devil Rays (1),AL (1),OF (1),10 Days
Jorge Piedra,04-11-2005,Rockies (1),NL (1),OF (2),10 Days
Agustin Montero (a),04-20-2005,Rangers (1),AL (2),P (1),10 Days
Jamal Strong,04-26-2005,Mariners (1),AL (3),OF (3),10 Days
Juan Rincon,05-02-2005,Twins (1),AL (4),P (2),10 Days
Rafael Betancourt,07-08-2005,Indians (1),AL (5),P (3),10 Days
Rafael Palmeiro,08-01-2005,Orioles (1),AL (6),1B (1),10 Days
Ryan Franklin,08-02-2005,Mariners (2),AL (7),P (4),10 Days
Mike Morse,09-07-2005,Mariners (3),AL (8),SS (1),10 Days
Carlos Almanzar,10-04-2005,Rangers (2),AL (9),P (4),10 Days
Felix Heredia,10-18-2005,Mets (1),NL (2),P (5),10 Days
Matt Lawton,11-02-2005,Yankees (1),AL (10),OF (4),10 Days
Yusaku Iriki,04-28-2006,Mets (1),NL (1),P (1),50 Games
Jason Grimsley,06-12-2006,Diamondbacks (1),NL (2),P (2),50 Games
Guillermo Mota,11-01-2006,Mets (2),NL (3),P (3),50 Games
Juan Salas,05-07-2007,Devil Rays (1),AL (1),P (1),50 Games
Neifi Perez,07-06-2007,Tigers (1),AL (2),SS (1),25 Games
Neifi Perez,08-03-2007,Tigers (2),AL (3),SS (2),80 Games
Ryan Jorgenson,09-07-2007,Reds (1),NL (1),C (1),25 Games
Mike Cameron,10-31-2007,Padres (1),NL (2),OF (1),25 Games
Dan Serafini,11-27-2007,Rockies (1),NL (3),P (2),50 Games
Jose Guillen,12-06-2007,Royals (1),AL (3),OF (2),15 Games
Jay Gibbons,12-06-2007,Orioles (1),AL (4),OF (3),15 Games
Eliezer Alfonzo,04-30-2008,Giants (1),NL (1),C (1),50 Games
Sergio Mitre,01-06-2009,Yankees (1),AL (1),P (1),50 Games
J.C. Romero,01-06-2009,Phillies (1),NL (1),P (2),50 Games
Manny Ramirez,05-07-2009,Dodgers (1),NL (2),OF (1),50 Games
Pablo Ozuna,06-11-2009,Phillies (2),NL (3),IF (1),50 Games
Edinson Volquez,04-20-2010,Reds (1),NL (1),P (1),50 Games
Ronny Paulino,08-20-2010,Marlins (1),NL (2),C (1),50 Games
Manny Ramirez,04-08-2011,Rays (1),AL (1),OF (1),100 Games
Mike Jacobs,08-18-2011,Rockies (1),NL (1),1B (1),50 Games
Guillermo Mota,05-07-2012,Giants (1),NL (1),P (1),100 Games
Freddy Galvis,06-19-2012,Phillies (1),NL (2),IF (1),50 Games
Marlon Byrd,06-25-2012,Free Agent (1),n/a,OF (1),50 Games
Melky Cabrera,08-15-2012,Giants (2),NL (3),OF (2),50 Games
Bartolo Colon,08-22-2012,Athletics (1),AL (1),P (2),50 Games
Yasmani Grandal,11-07-2012,Padres (1),NL (4),C (1),50 Games
Ryan Braun,07-22-2013,Brewers (1),NL (1),OF (1),65 Games
Antonio Bastardo,08-05-2013,Phillies (1),NL (2),P (1),50 Games
Everth Cabrera,08-05-2013,Padres (1),NL (3),SS (1),50 Games
Francisco Cervelli,08-05-2013,Yankees (1),AL (1),C (1),50 Games
Nelson Cruz,08-05-2013,Rangers (1),AL (2),OF (2),50 Games
Fautino De Los Santos,08-05-2013,Padres (2),NL (4),P (2),50 Games
Sergio Escalona,08-05-2013,Astros (1),AL (3),P (3),50 Games
Fernando Martinez,08-05-2013,Yankees (2),AL (4),OF (3),50 Games
Jesus Montero,08-05-2013,Mariners (1),AL (5),C (2),50 Games
Jordan Norberto,08-05-2013,Free Agent (1),n/a,P (4),50 Games
Jhonny Peralta,08-05-2013,Tigers (1),AL (6),SS (2),50 Games
Alex Rodriguez,08-05-2013,Yankees (3),AL (7),3B (1),211 Games
Jordany Valdespin,08-05-2013,Mets (1),NL (5),IF/OF (1),50 Games
Miguel Tejada,08-17-2013,Royals (1),AL (8),3B (2),105 Games
Troy Patton,12-20-2013,Orioles (1),AL (9),P (5),25 Games
Alex Colome,03-24-2014,Rays (1),AL (1),P (1),50 Games
David Rollins,03-27-2015,Mariners (1),AL (1),P (1),80 Games
Ervin Santana,04-03-2015,Twins (1),AL (2),P (2),80 Games
Jenrry Mejia,04-11-2015,Mets (1),NL (1),P (3),80 Games
Andrew McKirahan,04-20-2015,Braves (1),NL (2),P (4),80 Games
Jenrry Mejia,07-28-2015,Mets (2),NL (3),P (5),162 Games
Cody Stanley,09-12-2015,Cardinals (1),NL (4),C (1),80 Games
Jose Canseco,,,,,
Barry Bonds,,,,,
Mark McGwire,,,,,
Ivan Rodriguez,,,,,
Rafael Palmeiro,,,,,
Juan Gonzalez,,,,,
Jason Giambi,,,,,
Sammy Sosa,,,,,
